Panel No.,Panel Title,Paper ID,Paper Title,Authors,Keywords,Time Zone,Limitations,Scheduled?
1,Digital Infrastructures,167,Language as Infrastructure: From Manuscript to Deep Learning,"Ghosh, Arjun","multilingualism, digital humanities, language infrastructure, deep learning OCR, South Asian scripts",UCT+4,,TRUE
1,Digital Infrastructures,153,"Emergency Digitisation, Emergent Standards: Documenting AI Limits in Multilingual Cultural Heritage","KALITA, UDDIPANA","Responsible AI, digital cultural heritage, multilingualism, knowledge infrastructures, digitisation policy",UTC+5:30,Cannot do: 24 June 2026 during the following time: 09:00 AM – 12:30 PM BST (1:30 PM – 5:00 PM IST),TRUE
1,Digital Infrastructures,201,Leveraging Sparse Visual Data for Historical Insight: Forensic Reconstructions of Wartime Exhibitions in WWII China,"Du, Lin (1); Le, Brandon (2); Kong, Deqian (2)","computer vision, super resolution, visual reconstruction, exhibition, spectatorship",UTC+8,,TRUE
2,Data Sovereignty,103,How to Explain Indigenous Soil to a Blind Satellite: Atmospheric Noise as Digital Honey and Hauntological Mediumâ€”A Critical Approach to Decolonial DH Practice,"Tsai, Meng-Chieh","Decolonial Digital Humanities, Sonification, Indigenous Data Sovereignty, Hauntology, InSAR",UTC+7,,TRUE
2,Data Sovereignty,144,Data Colonialism as Epistemic Emergency: Large Language Models and Linguistic Sovereignty of Indigenous Communities,"Kwok, Jenny C.Y.","Data colonialism, Large Language Models, Indigenous data sovereignty, minority languages, cultural preservation",UTC+1,,TRUE
2,Data Sovereignty,198,Emergent Digital Humanities: Meme Scholarship from the Global South as Method,"Jyoti, Jyoti","Digital Humanities, Global South, Meme Studies, Performativity, Platform Infrastructures, Multilingual Digital Cultures",UTC+05:30,I will be unavailable on 25-06-2026 and 26-06-2026,TRUE
3,Accessibility and Sustainability in the Archive,109,Sustainability and Accessibility at the University of Nebraska-Lincoln's CDRH,"Chambers, Erin Kay; Dalziel, Karin; Dewey, William; Gray, Nicole; Tunink, Greg","sustainability, accessibility, preservation, strategic planning",UTC-5,,TRUE
3,Accessibility and Sustainability in the Archive,173,The Archive ENDURS: Accessible Archives and Title II,"Kemper, Cori; Muller, Jacob; Boyles, Christina","archives, accessibility, usability, ADA, multilingual",UTC-4,"Not Friday, June 26",TRUE
3,Accessibility and Sustainability in the Archive,199,DH Moves Toward Shared Accountability for Digital Accessibility,"Herrmann, Amalia","access, disability, pedagogy",UTC-7,,TRUE
4,Community-Engaged DH Practices,105,Digital Ethnography and/as Digital Humanities,"Vigilante, Nic","ethnography, reflexivity, emergence, methodology, pedagogy",UTC-4,"Unavailable on Friday, June 26 after 2:00pm Eastern",TRUE
4,Community-Engaged DH Practices,170,The Anti-Racist Digital Research Institute: Sharing Five Years of Practice and Building What Comes Next,"Topham, Kate; Bauer, Joe; Carruthers, Matthew; Thiels, John; Zephir, Stephanie","Anti-Racist Praxis, Project Support, Digital Scholarship Pedagogy, Community-Engaged practices",UTC-4,Not 1-4pm on June 24,TRUE
4,Community-Engaged DH Practices,157,"Sensing Revolutions: Reframing Protest through Critical, Multisensory Digital Humanities","Ismail, Mariam (1); Maria ArÄƒÅŸ, Roxana (2)","Digital Storytelling, Ethnography, Public Pedagogy, Critical Digital Humanities, Multisensory Protest",UTC-4,,TRUE
5,Computational Textual Analysis,128,Detecting a â€œCrazy Rich Asiansâ€ Effect: Computational Text Analysis of Malaysian Anglophone Novels,"Thong, Carmen","computational literary studies, postcolonial literature, Southeast Asia",UTC-7,,TRUE
5,Computational Textual Analysis,145,Imperatives to Care-Centered Data Annotation: A Case Study in Asian American Literature,"Zou, Zhihui (1); Hayes, Matthew (2); Karumuri, Shreya (1); Curaming, Liam Roj (3); Chen, Qiren (3); Gordon, Julia (1); Hao, Mingkang (1)","NER, NLP, minority literature, data annotation, ethical research",UTC-7 and UTC-4,,TRUE
5,Computational Textual Analysis,161,Minimal Computing in the Age of AI: Toward Principles for Sustainable and Accountable Systems in LAM Institutions,"Perez, Paul Jason; Lee, Benjamin Charles Germain","Minimal Computing, Sustainable AI, AI in LAM",UTC-7,,TRUE
6,Multilingual DH and Transcription,129,Emergence and Linguistic Memory in Latin American Digital Humanities: A Discourse on Corpus Analysis and Language Models in TomÃ¡s Carrasquilla,"CÃ¡rdenas Arenas, Julio CÃ©sar",Digital Humanities; Latin American Digital Humanities; Corpus Linguistics; AI and Cultural Heritage; Multilingual Text Analysis,UTC-5,"Wednesday 6 AM to 10 AM, Thursday 10 AM to 7 PM, Friday 7 AM to 4 PM (UTC-5)",TRUE
6,Multilingual DH and Transcription,195,From Scribe to Server: Exploring AI-Supported Workflows for Nahuatl Transcription,"Pieck, Regina; Wiles, Simon; Daedal, Quinn","Nahuatl, Transkribus, manuscripts",UTC-7,,TRUE
6,Multilingual DH and Transcription,147,"""I Have a Voice"": Collaborative Speech Synthesis Development for the Passamaquoddy Language","Nic Corcrain, Muireann","Passamaquoddy, speech synthesis technology, data sovereignty, meaningful collaboration",UTC,,TRUE
7,Digital Mapping as Method and Practice,124,Integrating corpus and geospatial analysis for Digital Borderlands In the Classroom,"Smith, Garrett; Froehlich, Heather","mapping, corpus analysis, pedagogy",UTC-6,,TRUE
7,Digital Mapping as Method and Practice,181,Mapping State Repression through Social Network Analysis,"Ross, Jennifer","Social Network Analysis, Policing, Government, Social Justice, Activism",UTC-4,,TRUE
7,Digital Mapping as Method and Practice,122,Finding and Founding in Times of Emegencia: Mapping the Black Digital and Public Humanities Across the Americas,"Godfrey, Mollie","Black Digital Humanities, Afro-Latinx Studies, Mapping, Collaboration, Global",UTC-4,I have a conflict in the morning and early afternoon of June 25,TRUE
8,"Media, Film, and Screenplay Analytics",138,No Deep Learning Required: tidylens for Sustainable Corpus-Level Film Analysis,"Siddiqui, Nabeel","minimal computing, computational, film analysis, tidy data, access, equity",UTC-4,I am available most days from 8:30-2:00,TRUE
8,"Media, Film, and Screenplay Analytics",171,"Segmentation as Meaning: Scene-Level Semantic Search Across 2,154 American Screenplays","Root, James","computational film studies, semantic search, screenplay analysis, digital humanities, cultural analytics",UTC-7,Unavailable on June 25.,TRUE
8,"Media, Film, and Screenplay Analytics",104,"Emerging Technologies, Environmental Trade-offs, and Open Access: AI-Powered OCR for Historical Diplomatic Archives","Martin-Schreiber, Vincent (1); Mathieu, Florian (2); Macarios, Jasmin (1)","Optical Character Recognition, Digital Archives, Artificial Intelligence, Environmental Computing, Open Science",UTC+2 and UTC-4,,TRUE
9,Critical Methods for Digital Humanities in Transition,179,DisappearingDH: A dataset for longitudinal study of digital humanities lifecycles,"Fenlon, Katrina; Wise, Nikki; Deng, Ximeng","Sustainability, digital preservation, maintenance, endings, cultural heritage",UTC-4,"I am unable to present 8am-1pm on June 25 due to my child's specialist medical appointment, but we can reschedule if absolutely necessary. Thank you!",TRUE
9,Critical Methods for Digital Humanities in Transition,141,Hybrid Minimal Computing: Sequencing Relational Infrastructure for Postcolonial Digital Humanities,"Risam, Roopika (1); Folsom, Jamie (2); Sempere, Anindita Basu (3)","Pan-Africanism, minimal computing, postcolonial digital humanities, hybrid infrastructure",UTC-4,Unavailable Friday the 26th after 12pm Eastern,TRUE
9,Critical Methods for Digital Humanities in Transition,146,The Proof is in the Pudding: Structural Experimentation as Close Reading Strategy in the Age of LLMs,"Marchesini, Manuela (1); Franchi, Stefano (2)","AI and Close reading, Algorithmic criticism, 19th century Italian literature, Structural experimentation, Deformance",UTC+2,We are available 9:00 AM–7:00 PM local time.,TRUE
10,"Surveillance, Law, and User Agency",119,â€œYour Card has been Declinedâ€: How Fintech App Communication Shapes User Agency During Transaction Failures.,"Odedeyi, Toluwani","Fintech, App Communication, User Agency, Algorithm, Transactions",UTC-4,,TRUE
10,"Surveillance, Law, and User Agency",120,CV Dazzle and Anti-Surveillance Aesthetics and the Future of the Law of Surveillance,"Weinstein, Lior","Surveillance, Law and Humanities",UTC+3‎,"I have major preferance to presenting in June 26. If not possible, June 24 and June 25 least.",TRUE
10,"Surveillance, Law, and User Agency",131,"Toward a Ritual Analytics: Emergency Response, Cultural Circulation, and Care under Platform Capitalism","Bateman, Micah","social media, cultural analytics, ritual, data methods, critical DH",UTC-5,Any time before 3:15p would work.,TRUE
11,Environmental DH & Ecological Modeling,165,"Tracking ""Adivasiyat"": Digital Collections and Emergent Identities","Singh, Amardeep","South Asia, Indigenity, Ecology, Identity, Activism",UTC-4,,TRUE
11,Environmental DH & Ecological Modeling,166,How a River Became a Joke: Modeling Mentions of the L.A. River in The L.A. Times,"Miller, Dez","topic modeling, newspapers, rivers, ecology",UTC-4,,TRUE
12,Reimagining Historical Datasets,159,This Beautiful Sisterhood of Books: An Emergent Response Using Historical Data,"Howard, Jacquelyne; Adams, Kate","New Orleans World's Fair, Database, Digital Collection, Crowd-sourcing, Exhibits, Publishing",UTC-5,,TRUE
12,Reimagining Historical Datasets,188,Reimagining the Global Medieval Sourcebook,"Martin, Nino; Daedal, Quinn","minimal computing, static site generation, Drupal, sustainability",UTC-7,,TRUE
12,Reimagining Historical Datasets,117,Beyond the Searchable PDF: Unlocking Structured Data from Historical Directories,"Smith, Sean","Digital Humanities, Digital Librarianship, Historical Preservation, Data Extraction, Experiential Learning",UTC-5,,TRUE
13,New Directions in Global Humanities Research,152,Positioning Electronic literature as an Emerging Creative Industry in the Majority World: A Comparative Analysis with Video Games and Digital Arts,"Desai, Mehulkumar","Electronic literature, Creative industries, Creative economy, Indian Consortium for Interactive Digital Narrative (ICIDN)",UTC+05:30,,TRUE
13,New Directions in Global Humanities Research,154,Data-driven Selection of Oral History Collections for Close Listening and Watching in the Age of AI: Interviewer-interviewee Dynamics in Holocaust Testimonies,"Toth, Gabor Mihaly (1); Laib, Mohamed (2); Bothe, Alina (3); Winkler, Christina (3); Horath, Julia (3); Pruski, Cedric (2); Da Silveira, Marcos (2); Ma, Marcus (4); Narayanan, Shrikanth (4)","oral history, Holocaust, close and distant reading",UTC+2,Unavailable on 24th and 26th of June,TRUE
13,New Directions in Global Humanities Research,184,Responding to Environmental Emergencies: A Low-Carbon Eco-Computational Study of Indian and American Eco-Theatre,"Bhimjyani, Simran","Digital Environmental Humanities (DEH), IDEH, Eco-theatre, Low-carbon DH, environmental emergency",UTC+05:30,,TRUE
14,Critiques and Uses of Generative AI,155,From Virtual Iftaâ€™ to AI Islam: Analyzing the Emergence and Impact of AI Fatwa Generators,"Stanton, Andrea","digital Islam, GenAI, fatwa generator",UTC-6,Wed 6/24: cannot do before 9am UTC-6; Thurs 6/25 cannot do 1:30-2:30 UTC-6; Fri 6/26 cannot do 9:30-noon or 2:45-4:30,TRUE
14,Critiques and Uses of Generative AI,194,"A Multimodal Pipeline for the Analysis of Mosaik: Integrating Panel Segmentation, OCR, and Generative AI for the GDR Archive","Cheng, Peter (1); Zhong, Matt (2)","Panel Segmentation, Multimodal Pipeline, GDR Bildgeschichte, Generative AI Reverse Prompting, Scene & Object Classification",UTC-7,,TRUE
14,Critiques and Uses of Generative AI,168,Zooniverse Platform Recommendations for Machine Learning-Engaged Crowdsourcing,"Blickhan, Samantha (1); Burgess, Hillary K. (2)","crowdsourcing, ai, ethics, policy, machine learning",UTC-5,,TRUE
15,Cross-project collaboration as community resilience: Northeastern’s Centers for Digital Scholarship,140,,,,UTC-4,,TRUE
16,A Positive Agenda: A Legal Framework for AI in Digital Humanities and Open Scholarship,151,,,,UTC+1 and UTC-4,,TRUE
17,Preservation in Emergencia: Digital Infrastructures for Safeguarding US Latino Cultural Record,174,,,,UTC-5,,TRUE
18,Building Community-Oriented Infrastructures for AI Experimentation,182,,,,UTC-4,,TRUE
19,"Emergence and Emergency in Ukrainian Digital Humanities: Data, Poetry, Plants, and Periodicals",196,,,,,,TRUE
20,Creative Presentations,,,,,,,TRUE
21,Creative Presentations,,,,,,,TRUE
22,"Food, Place, and Cultural Identity in the Americas",115,Recetas de las Américas: A dataset of historical newspaper recipes,"Tew, Sarah; Jerome, Melissa",,,,TRUE
22,"Food, Place, and Cultural Identity in the Americas",185,Remapping Latinx Identities: The Case of The Latinx Catskills,"Maney, J. Bret (1); Pérez Jiménez, Cristina (2)        ",,,,TRUE